parmy@fedora:~$ readelf -Ws libc-2.23.so

Symbol table '.dynsym' contains 2415 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    89: 000ca8d0    24 FUNC    GLOBAL DEFAULT   13 __sched_yield@@GLIBC_2.0
    90: 0009fd60    35 FUNC    GLOBAL DEFAULT   13 __gmtime_r@@GLIBC_2.0
    91: 00103340   225 FUNC    WEAK   DEFAULT   13 res_init@GLIBC_2.0
    92: 0003afc0    83 FUNC    GLOBAL DEFAULT   13 l64a@@GLIBC_2.0
    93: 0011ee80   116 FUNC    GLOBAL DEFAULT   13 _IO_file_attach@GLIBC_2.0
    94: 00069460   124 FUNC    GLOBAL DEFAULT   13 _IO_file_attach@@GLIBC_2.1
    95: 0007cd10    53 FUNC    GLOBAL DEFAULT   13 __strstr_g@@GLIBC_2.1.1
    96: 000aa2e0    42 FUNC    WEAK   DEFAULT   13 wcsftime_l@@GLIBC_2.3
    97: 0005e8a0   411 FUNC    WEAK   DEFAULT   13 gets@@GLIBC_2.0
    98: 0005d340   270 FUNC    WEAK   DEFAULT   13 fflush@@GLIBC_2.0
    99: 00107df0   101 FUNC    GLOBAL DEFAULT   13 _authenticate@@GLIBC_2.1
   100: 0010acb0   326 FUNC    GLOBAL DEFAULT   13 getrpcbyname@@GLIBC_2.0
   101: 00067230    49 FUNC    GLOBAL DEFAULT   13 putc_unlocked@@GLIBC_2.0
   102: 000e20b0    33 FUNC    GLOBAL DEFAULT   13 hcreate@@GLIBC_2.0
   103: 000742e0    66 IFUNC   GLOBAL DEFAULT   13 strcpy@@GLIBC_2.0
   104: 0003af70    65 FUNC    GLOBAL DEFAULT   13 a64l@@GLIBC_2.0
   105: 00112610    74 FUNC    GLOBAL DEFAULT   13 xdr_long@@GLIBC_2.0
   106: 0002c020   131 FUNC    WEAK   DEFAULT   13 sigsuspend@@GLIBC_2.0
   107: 000183b0     2 FUNC    GLOBAL DEFAULT   13 __libc_init_first@@GLIBC_2.0
   108: 000e7380    56 FUNC    GLOBAL DEFAULT   13 shmget@@GLIBC_2.0
   109: 00063890   406 FUNC    GLOBAL DEFAULT   13 _IO_wdo_write@@GLIBC_2.2
   110: 0005b3c0    38 FUNC    GLOBAL DEFAULT   13 getw@@GLIBC_2.0
   111: 000de1f0   451 FUNC    GLOBAL DEFAULT   13 gethostid@@GLIBC_2.0
   112: 0002ebb0    39 FUNC    GLOBAL DEFAULT   13 __cxa_at_quick_exit@@GLIBC_2.10
   113: 00078490    59 IFUNC   GLOBAL DEFAULT   13 __rawmemchr@@GLIBC_2.1
   114: 0005b4e0    64 FUNC    WEAK   DEFAULT   13 flockfile@@GLIBC_2.0
   115: 0009d880   106 FUNC    WEAK   DEFAULT   13 wcsncasecmp_l@@GLIBC_2.3
   116: 00078760    53 FUNC    WEAK   DEFAULT   13 argz_add@@GLIBC_2.0
   117: 000e5de0    32 FUNC    GLOBAL DEFAULT   13 inotify_init1@@GLIBC_2.9
   118: 000f2970   638 FUNC    GLOBAL DEFAULT   13 __backtrace_symbols@@GLIBC_2.1
   119: 0007c930    75 FUNC    GLOBAL DEFAULT   13 __strncpy_byn@@GLIBC_2.1.1
   120: 00069c50    18 FUNC    GLOBAL DEFAULT   13 _IO_un_link@@GLIBC_2.0
   121: 000654a0   351 FUNC    WEAK   DEFAULT   13 vasprintf@@GLIBC_2.0
   122: 000917f0    46 FUNC    GLOBAL DEFAULT   13 __wcstod_internal@@GLIBC_2.0
   123: 0010d470   438 FUNC    GLOBAL DEFAULT   13 authunix_create@@GLIBC_2.0
   124: 000e8790    19 FUNC    GLOBAL DEFAULT   13 _mcount@@GLIBC_2.0
   125: 000f52a0    77 FUNC    GLOBAL DEFAULT   13 __wcstombs_chk@@GLIBC_2.4
   126: 000903d0    54 IFUNC   GLOBAL DEFAULT   13 wmemcmp@@GLIBC_2.0
   127: 00100b60   320 FUNC    GLOBAL DEFAULT   13 __netlink_assert_response@@GLIBC_PRIVATE
   128: 0009fd60    35 FUNC    WEAK   DEFAULT   13 gmtime_r@@GLIBC_2.0
   129: 000d3f40    36 FUNC    WEAK   DEFAULT   13 fchmod@@GLIBC_2.0
   130: 000f3520   287 FUNC    GLOBAL DEFAULT   13 __printf_chk@@GLIBC_2.3.4
   131: 0007cc00    38 FUNC    GLOBAL DEFAULT   13 __strspn_cg@@GLIBC_2.1.1
   132: 000659d0   360 FUNC    WEAK   DEFAULT   13 obstack_vprintf@@GLIBC_2.0
   133: 0002c140    79 FUNC    WEAK   DEFAULT   13 sigwait@@GLIBC_2.0
   134: 000189a0    41 FUNC    GLOBAL DEFAULT   13 __cmpdi2@GLIBC_2.0
   135: 000ad090   147 FUNC    GLOBAL DEFAULT   13 setgrent@@GLIBC_2.0
   136: 000f4d80   355 FUNC    GLOBAL DEFAULT   13 __fgetws_chk@@GLIBC_2.4
   137: 000f1fb0   300 FUNC    GLOBAL DEFAULT   13 __register_atfork@@GLIBC_2.3.2
   138: 000e9900    85 FUNC    WEAK   DEFAULT   13 iswctype_l@@GLIBC_2.3
   139: 000e90f0   138 FUNC    WEAK   DEFAULT   13 wctrans@@GLIBC_2.0
   140: 000de080    32 FUNC    GLOBAL DEFAULT   13 acct@@GLIBC_2.0
   141: 0002e7c0    31 FUNC    GLOBAL DEFAULT   13 exit@@GLIBC_2.0
   142: 00041bd0  9419 FUNC    GLOBAL DEFAULT   13 _IO_vfprintf@@GLIBC_2.0
   143: 000af900   358 FUNC    GLOBAL DEFAULT   13 execl@@GLIBC_2.0
   144: 000c8250    25 FUNC    WEAK   DEFAULT   13 re_set_syntax@@GLIBC_2.0
   145: 000f5b80     7 FUNC    GLOBAL DEFAULT   13 htonl@@GLIBC_2.0
   146: 001221a0    65 FUNC    GLOBAL DEFAULT   13 getprotobynumber_r@GLIBC_2.0
   147: 000d1c10  3017 FUNC    GLOBAL DEFAULT   13 wordexp@@GLIBC_2.1
   148: 000f7db0   471 FUNC    GLOBAL DEFAULT   13 getprotobynumber_r@@GLIBC_2.1.2
   149: 000f80d0   163 FUNC    GLOBAL DEFAULT   13 endprotoent@@GLIBC_2.0
   150: 0002b030    41 FUNC    WEAK   DEFAULT   13 isinf@@GLIBC_2.0
   151: 00024d00    22 FUNC    GLOBAL DEFAULT   13 __assert@@GLIBC_2.2
   152: 00067110     8 FUNC    GLOBAL DEFAULT   13 clearerr_unlocked@@GLIBC_2.0
   153: 000bab00   869 FUNC    GLOBAL DEFAULT   13 fnmatch@GLIBC_2.0
   154: 000bab00   869 FUNC    GLOBAL DEFAULT   13 fnmatch@@GLIBC_2.2.3
   155: 00109d30    30 FUNC    GLOBAL DEFAULT   13 xdr_keybuf@@GLIBC_2.0
   156: 000e5690    34 FUNC    GLOBAL DEFAULT   13 gnu_dev_major@@GLIBC_2.3.3
   157: 000250d0    23 FUNC    GLOBAL DEFAULT   13 __islower_l@@GLIBC_2.1
   158: 000ab050   196 FUNC    WEAK   DEFAULT   13 readdir@@GLIBC_2.0
   159: 00112fa0    77 FUNC    GLOBAL DEFAULT   13 xdr_uint32_t@@GLIBC_2.1
   160: 000f5b90    14 FUNC    GLOBAL DEFAULT   13 htons@@GLIBC_2.0
   161: 000b0b10   599 FUNC    WEAK   DEFAULT   13 pathconf@@GLIBC_2.0
   162: 0002cdf0   103 FUNC    GLOBAL DEFAULT   13 sigrelse@@GLIBC_2.1
   163: 0002faf0    78 FUNC    WEAK   DEFAULT   13 seed48_r@@GLIBC_2.0
   164: 0005ba60  1567 FUNC    GLOBAL DEFAULT   13 psiginfo@@GLIBC_2.10
   165: 00104c90  1352 FUNC    GLOBAL DEFAULT   13 __nss_hostname_digits_dots@@GLIBC_2.2.2
   166: 000af770    41 FUNC    GLOBAL DEFAULT   13 execv@@GLIBC_2.0
   167: 00049090    28 FUNC    GLOBAL DEFAULT   13 sprintf@@GLIBC_2.0
   168: 00065270   270 FUNC    GLOBAL DEFAULT   13 _IO_putc@@GLIBC_2.0
   169: 000e5ee0    38 FUNC    GLOBAL DEFAULT   13 nfsservctl@@GLIBC_2.0
